Year,Champion,Runner-Up,MVP,DPOY,Finals MVP,ROY,Scoring Leader,Assists Leader,Rebound Leader
1994,Rockets,Knicks,Hakeem Olajuwon,Hakeem Olajuwon,Hakeem Olajuwon,Chris Webber,David Robinson,John Stockton,Dennis Rodman
1995,Rockets,Magic,David Robinson,Dikembe Mutombo,Hakeem Olajuwon,Jason Kidd (Tie),Shaquille O'Neal,John Stockton,Dennis Rodman
1995,Rockets,Magic,David Robinson,Dikembe Mutombo,Hakeem Olajuwon,Grant Hill (Tie),Shaquille O'Neal,John Stockton,Dennis Rodman
1996,Bulls,Sonics,Michael Jordan,Gary Payton,Michael Jordan,Damon Stoudamire,Michael Jordan,John Stockton,Dennis Rodman
1997,Bulls,Jazz,Karl Malone,Dikembe Mutombo,Michael Jordan,Allen Iverson,Michael Jordan,Mark Jackson,Dennis Rodman
1998,Bulls,Jazz,Michael Jordan,Dikembe Mutombo,Michael Jordan,Tim Duncan,Michael Jordan,Rod Strickland,Dennis Rodman
1999,Spurs,Knicks,Karl Malone,Alonzo Mourning,Tim Duncan,Vince Carter,Allen Iverson,Jason Kidd,Chris Webber
2000,Lakers,Pacers,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,Steve Francis (Tie),Shaquille O'Neal,Jason Kidd,Dikembe Mutombo
2000,Lakers,Pacers,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,Elton Brand (Tie),Shaquille O'Neal,Jason Kidd,Dikembe Mutombo
2001,Lakers,76ers,Allen Iverson,Dikembe Mutombo,Shaquille O'Neal,Mike Miller,Allen Iverson,Jason Kidd,Dikembe Mutombo
2002,Lakers,Nets,Tim Duncan,Ben Wallace,Shaquille O'Neal,Pau Gasol,Allen Iverson,Andre Miller,Ben Wallace
2003,Spurs,Nets,Tim Duncan,Ben Wallace,Tim Duncan,Amar'e Stoudemire,Tracy McGrady,Jason Kidd,Ben Wallace
2004,Pistons,Lakers,Kevin Garnett,Metta World Peace,Chauncey Billups,LeBron James,Tracy McGrady,Jason Kidd,Kevin Garnett
2005,Spurs,Pistons,Steve Nash,Ben Wallace,Tim Duncan,Emeka Okafor,Allen Iverson,Steve Nash,Kevin Garnett
2006,Heat,Mavs,Steve Nash,Ben Wallace,Dwyane Wade,Chris Paul,Kobe Bryant,Steve Nash,Kevin Garnett
2007,Spurs,Cavs,Dirk Nowitzki,Marcus Camby,Tony Parker,Brandon Roy,Kobe Bryant,Steve Nash,Kevin Garnett
2008,Celtics,Lakers,Kobe Bryant,Kevin Garnett,Paul Pierce,Kevin Durant,LeBron James,Chris Paul,Dwight Howard
2009,Lakers,Magic,LeBron James,Dwight Howard,Kobe Bryant,Derrick Rose,Dwyane Wade,Chris Paul,Dwight Howard
2010,Lakers,Celtics,LeBron James,Dwight Howard,Kobe Bryant,Tyreke Evans,Kevin Durant,Steve Nash,Dwight Howard
2011,Mavs,Heat,Derrick Rose,Dwight Howard,Dirk Nowitzki,Blake Griffin,Kevin Durant,Steve Nash,Kevin Love
